FeatureCode,DateCode,Measurement,Units,Value,Age of Dwelling,Type Of Dwelling,Number of Bedrooms,Type Of Tenure,Household Type,Fuel Poverty
S12000042,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,15.8,All,All,All,All,Families,Fuel Poor
S92000003,2015,Percent,Percent of households in fuel poverty,30.5,All,All,All,All,Other,Fuel Poor
S12000019,2013-2015,Percent,Percent of households in fuel poverty,27.3,All,Houses,All,All,All,Fuel Poor
S12000011,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,0.2,All,All,All,All,Families,Fuel Poor
S12000019,2013-2015,Percent,Percent of households in fuel poverty,32.7,All,All,All,All,Older,Fuel Poor
S92000003,2016,Percent,Percent of households in fuel poverty,43,All,All,All,Social Rented,All,Fuel Poor
S12000042,2014-2016,Percent,Percent of households in fuel poverty,37.2,All,Flats,All,All,All,Fuel Poor
S12000041,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,6.8,All,All,All,All,Families,Fuel Poor
S12000006,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,1.7,All,All,All,All,Families,Fuel Poor
S12000035,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.4,All,All,All,All,Families,Fuel Poor
S92000003,2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,27.4,All,All,All,All,All,Fuel Poor
S12000018,2013-2015,Percent,Percent of households in fuel poverty,33.1,All,All,All,All,Older,Fuel Poor
S12000018,2016-2018,Percent,Percent of households in fuel poverty,36.4,All,All,All,All,Older,Fuel Poor
S12000014,2016-2018,Percent,Percent of households in fuel poverty,27.8,All,All,All,All,Older,Fuel Poor
S12000049,2016-2018,Percent,Percent of households in fuel poverty,19.1,All,All,All,All,Older,Fuel Poor
S12000047,2016-2018,Percent,Percent of households in fuel poverty,27.8,All,All,All,All,Older,Fuel Poor
S12000019,2013-2015,Percent,Percent of households in fuel poverty,44.9,All,All,All,Social Rented,All,Fuel Poor
S12000038,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,12.9,All,All,All,All,Older,Fuel Poor
S12000008,2016-2018,Percent,Percent of households in fuel poverty,36.5,All,All,All,All,Older,Fuel Poor
S12000011,2016-2018,Percent,Percent of households in fuel poverty,17.6,All,All,All,All,Older,Fuel Poor
S12000035,2016-2018,Percent,Percent of households in fuel poverty,32,All,All,All,All,Older,Fuel Poor
S12000041,2016-2018,Percent,Percent of households in fuel poverty,21.6,All,All,All,All,Older,Fuel Poor
S12000018,2013-2015,Percent,Percent of households in fuel poverty,52.4,All,All,All,Social Rented,All,Fuel Poor
S12000039,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,12.9,All,All,All,All,Families,Fuel Poor
S12000023,2013-2015,Percent,Percent of households in fuel poverty,76.5,All,All,All,Social Rented,All,Fuel Poor
S12000026,2012-2014,Percent,Percent of households in fuel poverty,40,All,All,All,Social Rented,All,Fuel Poor
S12000023,2012-2014,Percent,Percent of households in fuel poverty,38.1,All,Houses,All,All,All,Fuel Poor
S12000021,2012-2014,Percent,Percent of households in fuel poverty,33.2,All,All,All,All,Families,Fuel Poor
S12000029,2012-2014,Percent,Percent of households in fuel poverty,33.6,All,Flats,All,All,All,Fuel Poor
S12000021,2012-2014,Percent,Percent of households in fuel poverty,20.4,All,All,All,Owner Occupied,All,Fuel Poor
S12000029,2012-2014,Percent,Percent of households in fuel poverty,22.4,All,Houses,All,All,All,Fuel Poor
S12000026,2012-2014,Percent,Percent of households in fuel poverty,27.8,All,Houses,All,All,All,Fuel Poor
S12000023,2013-2015,Percent,Percent of households in fuel poverty,30.5,All,All,All,All,Other,Fuel Poor
S12000048,2013-2015,Percent,Percent of households in fuel poverty,20.2,All,All,All,Owner Occupied,All,Fuel Poor
S12000029,2012-2014,Percent,Percent of households in fuel poverty,26,All,All,All,All,All,Fuel Poor
S12000038,2013-2015,Percent,Percent of households in fuel poverty,36,All,All,All,Social Rented,All,Fuel Poor
S12000023,2013-2015,Percent,Percent of households in fuel poverty,27.2,All,All,All,Owner Occupied,All,Fuel Poor
S12000048,2013-2015,Percent,Percent of households in fuel poverty,51.4,All,All,All,Social Rented,All,Fuel Poor
S12000021,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,53.2,All,All,All,Social Rented,All,Fuel Poor
S12000006,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,36.7,All,All,All,All,All,Fuel Poor
S12000018,2012-2014,Percent,Percent of households in fuel poverty,28.8,All,Houses,All,All,All,Fuel Poor
S12000010,2014-2016,Percent,Percent of households in fuel poverty,13.7,All,All,All,Owner Occupied,All,Fuel Poor
S12000011,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,0.5,All,All,All,All,Families,Fuel Poor
S12000005,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,45.2,All,All,All,All,Other,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,16.6,All,All,All,All,Families,Fuel Poor
S12000017,2012-2014,Percent,Percent of households in fuel poverty,23.1,All,All,All,Owner Occupied,All,Fuel Poor
S12000026,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,14.2,All,All,All,All,Other,Fuel Poor
S12000017,2012-2014,Percent,Percent of households in fuel poverty,34.2,All,All,All,All,Older,Fuel Poor
S12000018,2012-2014,Percent,Percent of households in fuel poverty,43.5,All,Flats,All,All,All,Fuel Poor
S12000021,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,20.3,All,All,All,Owner Occupied,All,Fuel Poor
S12000020,2012-2014,Percent,Percent of households in fuel poverty,18,All,All,All,Owner Occupied,All,Fuel Poor
S92000003,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.2,All,All,All,All,Other,Fuel Poor
S12000021,2012-2014,Percent,Percent of households in fuel poverty,43.3,All,All,All,All,Other,Fuel Poor
S12000023,2012-2014,Percent,Percent of households in fuel poverty,38.4,All,All,All,All,All,Fuel Poor
S12000028,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,14,All,All,All,All,Older,Fuel Poor
S12000010,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,9.4,All,All,All,All,Other,Fuel Poor
S12000021,2012-2014,Percent,Percent of households in fuel poverty,48.3,All,All,All,Social Rented,All,Fuel Poor
S12000023,2013-2015,Percent,Percent of households in fuel poverty,42.2,All,All,All,Private Rented,All,Fuel Poor
S12000005,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,28.7,All,All,All,Owner Occupied,All,Fuel Poor
S12000041,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,35.7,All,All,All,All,All,Fuel Poor
S12000028,2012-2014,Percent,Percent of households in fuel poverty,40.3,All,Flats,All,All,All,Fuel Poor
S12000005,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,55.1,All,All,All,Social Rented,All,Fuel Poor
S92000003,2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,32.9,All,Flats,All,All,All,Fuel Poor
S12000038,2012-2014,Percent,Percent of households in fuel poverty,17.6,All,Houses,All,All,All,Fuel Poor
S12000034,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,39.8,All,All,All,All,Older,Fuel Poor
S12000038,2013-2015,Percent,Percent of households in fuel poverty,31,All,Flats,All,All,All,Fuel Poor
S12000023,2012-2014,Percent,Percent of households in fuel poverty,51.3,All,All,All,All,Older,Fuel Poor
S12000023,2012-2014,Percent,Percent of households in fuel poverty,31.4,All,All,All,All,Other,Fuel Poor
S12000023,2012-2014,Percent,Percent of households in fuel poverty,31.1,All,All,All,Owner Occupied,All,Fuel Poor
S12000023,2012-2014,Percent,Percent of households in fuel poverty,40,All,All,All,Private Rented,All,Fuel Poor
S12000048,2013-2015,Percent,Percent of households in fuel poverty,28,All,All,All,All,Older,Fuel Poor
S12000048,2013-2015,Percent,Percent of households in fuel poverty,27.6,All,All,All,All,Families,Fuel Poor
S12000038,2012-2014,Percent,Percent of households in fuel poverty,16.2,All,All,All,Owner Occupied,All,Fuel Poor
S12000023,2012-2014,Percent,Percent of households in fuel poverty,75.4,All,All,All,Social Rented,All,Fuel Poor
S12000023,2013-2015,Percent,Percent of households in fuel poverty,50.1,All,All,All,All,Older,Fuel Poor
S12000028,2012-2014,Percent,Percent of households in fuel poverty,48.6,All,All,All,Social Rented,All,Fuel Poor
S12000021,2012-2014,Percent,Percent of households in fuel poverty,20.4,All,All,All,All,Older,Fuel Poor
S12000023,2012-2014,Percent,Percent of households in fuel poverty,32.8,All,All,All,All,Families,Fuel Poor
S12000035,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,38.1,All,Houses,All,All,All,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,35.6,All,All,All,Private Rented,All,Fuel Poor
S12000034,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,28.1,All,All,All,All,All,Fuel Poor
S12000034,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,30.9,All,All,All,All,Families,Fuel Poor
S12000008,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,17.3,All,All,All,All,Other,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,39.3,All,All,All,Social Rented,All,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,17.1,All,All,All,Owner Occupied,All,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,31.2,All,Flats,All,All,All,Fuel Poor
S12000035,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,39.6,All,All,All,All,All,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,25,All,All,All,All,All,Fuel Poor
S12000035,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,58.6,All,All,All,Social Rented,All,Fuel Poor
S12000041,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,43.7,All,All,All,All,Families,Fuel Poor
S12000041,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,46.4,All,All,All,All,Other,Fuel Poor
S12000041,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,26.4,All,All,All,All,Older,Fuel Poor
S12000010,2014-2016,Percent,Percent of households in fuel poverty,19.7,All,All,All,All,Families,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,21.6,All,Houses,All,All,All,Fuel Poor
S12000035,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,45.6,All,All,All,All,Families,Fuel Poor
S12000035,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,44.1,All,All,All,All,Other,Fuel Poor
S12000005,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,34.9,All,Houses,All,All,All,Fuel Poor
S12000035,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,51.5,All,Flats,All,All,All,Fuel Poor
S12000005,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,35.9,All,All,All,All,All,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,27.1,All,All,All,All,Other,Fuel Poor
S12000035,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,33.3,All,All,All,Owner Occupied,All,Fuel Poor
S12000011,2014-2016,Percent,Percent of households in fuel poverty,27.8,All,All,All,All,All,Fuel Poor
S12000038,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,19.9,All,All,All,All,Other,Fuel Poor
S92000003,2018,Percent,Percent of households in fuel poverty,28.2,All,All,All,All,Older,Fuel Poor
S12000035,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,43.2,All,All,All,All,Older,Fuel Poor
S12000021,2012-2014,Percent,Percent of households in fuel poverty,41.8,All,Flats,All,All,All,Fuel Poor
S12000019,2012-2014,Percent,Percent of households in fuel poverty,18.3,All,All,All,Owner Occupied,All,Fuel Poor
S12000019,2012-2014,Percent,Percent of households in fuel poverty,32.2,All,All,All,All,Older,Fuel Poor
S12000019,2012-2014,Percent,Percent of households in fuel poverty,22.2,All,All,All,All,Other,Fuel Poor
S12000029,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,35.3,All,All,All,All,Families,Fuel Poor
S12000036,2014-2016,Percent,Percent of households in fuel poverty,41.4,All,All,All,Social Rented,All,Fuel Poor
S12000029,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,39.1,All,All,All,All,Other,Fuel Poor
S12000021,2012-2014,Percent,Percent of households in fuel poverty,29.4,All,Houses,All,All,All,Fuel Poor
S12000020,2012-2014,Percent,Percent of households in fuel poverty,25.8,All,All,All,All,Other,Fuel Poor
S12000020,2012-2014,Percent,Percent of households in fuel poverty,41,All,All,All,Social Rented,All,Fuel Poor
S12000020,2012-2014,Percent,Percent of households in fuel poverty,24.5,All,All,All,All,Older,Fuel Poor
S12000010,2014-2016,Percent,Percent of households in fuel poverty,20.2,All,All,All,All,Other,Fuel Poor
S12000019,2012-2014,Percent,Percent of households in fuel poverty,33.2,All,All,All,All,Families,Fuel Poor
S12000020,2012-2014,Percent,Percent of households in fuel poverty,19.6,All,All,All,All,Families,Fuel Poor
S12000021,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,35.3,All,All,All,All,Older,Fuel Poor
S12000036,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,19.1,All,All,All,All,Other,Fuel Poor
S92000003,2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,26.9,All,Houses,All,All,All,Fuel Poor
S12000021,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,50.6,All,Flats,All,All,All,Fuel Poor
S12000034,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,28.7,All,Houses,All,All,All,Fuel Poor
S12000021,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,63.4,All,All,All,Private Rented,All,Fuel Poor
S12000034,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,27.5,All,All,All,All,Other,Fuel Poor
S12000020,2012-2014,Percent,Percent of households in fuel poverty,23.6,All,All,All,All,All,Fuel Poor
S12000019,2012-2014,Percent,Percent of households in fuel poverty,43.8,All,All,All,Social Rented,All,Fuel Poor
S12000030,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,31.2,All,Houses,All,All,All,Fuel Poor
S12000028,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,12,All,All,All,All,Other,Fuel Poor
S12000021,2012-2014,Percent,Percent of households in fuel poverty,33.1,All,All,All,All,All,Fuel Poor
S12000020,2012-2014,Percent,Percent of households in fuel poverty,21,All,Houses,All,All,All,Fuel Poor
S12000013,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,8.9,All,All,All,All,Families,Fuel Poor
S12000047,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,11,All,All,All,All,Families,Fuel Poor
S12000049,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,11.8,All,All,All,All,Families,Fuel Poor
S12000019,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,11.4,All,All,All,All,Families,Fuel Poor
S12000030,2012-2014,Percent,Percent of households in fuel poverty,25.5,All,All,All,All,Families,Fuel Poor
S12000021,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,9.5,All,All,All,All,Families,Fuel Poor
S12000030,2012-2014,Percent,Percent of households in fuel poverty,38,All,All,All,All,Other,Fuel Poor
S12000050,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,12.1,All,All,All,All,Families,Fuel Poor
S12000039,2012-2014,Percent,Percent of households in fuel poverty,28.9,All,Flats,All,All,All,Fuel Poor
S12000023,2013-2015,Percent,Percent of households in fuel poverty,36.1,All,All,All,All,All,Fuel Poor
S12000023,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.8,All,All,All,All,Families,Fuel Poor
S12000049,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,55,All,All,All,Private Rented,All,Fuel Poor
S12000018,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,16.5,All,All,All,All,Families,Fuel Poor
S12000020,2013-2015,Percent,Percent of households in fuel poverty,23.4,All,Houses,All,All,All,Fuel Poor
S12000028,2017-2019,Percent,Percent of households in fuel poverty,16,All,All,All,Owner Occupied,All,Fuel Poor
S12000049,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,35.9,All,Houses,All,All,All,Fuel Poor
S12000033,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,31.8,All,All,All,All,All,Fuel Poor
S92000003,2012-2014,Percent,Percent of households in fuel poverty,26.6,All,All,All,All,Older,Fuel Poor
S12000026,2013-2015,Percent,Percent of households in fuel poverty,42.4,All,All,All,Private Rented,All,Fuel Poor
S12000006,2012-2014,Percent,Percent of households in fuel poverty,50.5,All,All,All,Private Rented,All,Fuel Poor
S12000045,2014-2016,Percent,Percent of households in fuel poverty,13.4,All,All,All,All,Families,Fuel Poor
S12000017,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,8.2,All,All,All,All,Families,Fuel Poor
S92000003,2012-2014,Percent,Percent of households in fuel poverty,27.6,All,All,All,All,Families,Fuel Poor
S12000039,2012-2014,Percent,Percent of households in fuel poverty,26.7,All,Houses,All,All,All,Fuel Poor
S12000045,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.9,All,Flats,All,All,All,Fuel Poor
S92000003,2012-2014,Percent,Percent of households in fuel poverty,46.2,All,All,All,Private Rented,All,Fuel Poor
S12000049,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,23.1,All,All,All,All,Older,Fuel Poor
S12000010,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,7.8,All,All,All,Owner Occupied,All,Fuel Poor
S12000045,2016-2018,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,28,All,All,All,All,All,Fuel Poor
S12000014,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,7.3,All,All,All,All,Families,Fuel Poor
S12000045,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,2.5,All,All,All,All,Families,Fuel Poor
S12000036,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,8.2,All,All,All,All,Families,Fuel Poor
S92000003,2014,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,51.5,All,All,All,Private Rented,All,Fuel Poor
S12000010,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,6.2,All,All,All,All,Families,Fuel Poor
S92000003,2014,Percent,Percent of households in fuel poverty,24.7,All,Houses,All,All,All,Fuel Poor
S12000014,2016-2018,Percent,Percent of households in fuel poverty,17.7,All,All,All,All,Families,Fuel Poor
S12000036,2016-2018,Percent,Percent of households in fuel poverty,44.3,All,All,All,Social Rented,All,Fuel Poor
S12000049,2016-2018,Percent,Percent of households in fuel poverty,39.6,All,All,All,Private Rented,All,Fuel Poor
S12000023,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,26.9,All,All,All,All,Older,Fuel Poor
S12000020,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,12,All,All,All,All,Families,Fuel Poor
S12000036,2016-2018,Percent,Percent of households in fuel poverty,32.4,All,All,All,Private Rented,All,Fuel Poor
S12000010,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,22.9,All,All,All,Social Rented,All,Fuel Poor
S12000011,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,30.5,All,Flats,All,All,All,Fuel Poor
S92000003,2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,46.6,All,All,All,Social Rented,All,Fuel Poor
S12000011,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,16,All,Houses,All,All,All,Fuel Poor
S12000049,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,39.4,All,All,All,Social Rented,All,Fuel Poor
S12000021,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.4,All,All,All,All,Other,Fuel Poor
S12000021,2013-2015,Percent,Percent of households in fuel poverty,39,All,All,All,All,Other,Fuel Poor
S12000011,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,1.6,All,All,All,All,Families,Fuel Poor
S12000030,2012-2014,Percent,Percent of households in fuel poverty,16.3,All,All,All,Owner Occupied,All,Fuel Poor
S12000030,2012-2014,Percent,Percent of households in fuel poverty,52.9,All,All,All,Social Rented,All,Fuel Poor
S12000042,2016-2018,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,37.2,All,All,All,All,All,Fuel Poor
S12000008,2016-2018,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,36.3,All,All,All,All,All,Fuel Poor
S12000030,2012-2014,Percent,Percent of households in fuel poverty,20.6,All,All,All,All,Older,Fuel Poor
S12000038,2013-2015,Percent,Percent of households in fuel poverty,21.8,All,All,All,All,Older,Fuel Poor
S12000045,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,17,All,All,All,All,Other,Fuel Poor
S12000026,2012-2014,Percent,Percent of households in fuel poverty,30.7,All,All,All,All,Other,Fuel Poor
S12000028,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,46,All,Flats,All,All,All,Fuel Poor
S12000026,2012-2014,Percent,Percent of households in fuel poverty,31.2,All,All,All,All,Older,Fuel Poor
S12000026,2012-2014,Percent,Percent of households in fuel poverty,21.3,All,All,All,Owner Occupied,All,Fuel Poor
S12000028,2012-2014,Percent,Percent of households in fuel poverty,27.4,All,Houses,All,All,All,Fuel Poor
S12000036,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,17.8,All,All,All,All,All,Fuel Poor
S12000023,2013-2015,Percent,Percent of households in fuel poverty,27.2,All,All,All,All,Families,Fuel Poor
S12000028,2012-2014,Percent,Percent of households in fuel poverty,34.4,All,All,All,All,Families,Fuel Poor
S12000048,2013-2015,Percent,Percent of households in fuel poverty,29.4,All,All,All,All,All,Fuel Poor
S12000028,2012-2014,Percent,Percent of households in fuel poverty,27.6,All,All,All,All,Older,Fuel Poor
S12000029,2012-2014,Percent,Percent of households in fuel poverty,24.8,All,All,All,All,Families,Fuel Poor
S12000029,2012-2014,Percent,Percent of households in fuel poverty,22.8,All,All,All,All,Older,Fuel Poor
S12000010,2014-2016,Percent,Percent of households in fuel poverty,27.7,All,All,All,All,Older,Fuel Poor
S12000005,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,36.2,All,All,All,All,Older,Fuel Poor
S12000005,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,36,All,All,All,All,Families,Fuel Poor
S12000010,2014-2016,Percent,Percent of households in fuel poverty,35.5,All,All,All,Social Rented,All,Fuel Poor
S92000003,2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,25.3,All,Houses,All,All,All,Fuel Poor
S12000029,2012-2014,Percent,Percent of households in fuel poverty,38.8,All,All,All,Social Rented,All,Fuel Poor
S12000029,2012-2014,Percent,Percent of households in fuel poverty,18.5,All,All,All,Owner Occupied,All,Fuel Poor
S12000013,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.1,All,All,All,All,Other,Fuel Poor
S12000006,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,37.3,All,Houses,All,All,All,Fuel Poor
S12000026,2012-2014,Percent,Percent of households in fuel poverty,25.5,All,All,All,All,Families,Fuel Poor
S12000034,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,57.7,All,All,All,Social Rented,All,Fuel Poor
S12000005,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,46.2,All,Flats,All,All,All,Fuel Poor
S12000034,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,22.8,All,All,All,Owner Occupied,All,Fuel Poor
S92000003,2014,Percent,Percent of households in fuel poverty,28.8,All,All,All,All,All,Fuel Poor
S12000045,2014-2016,Percent,Percent of households in fuel poverty,14.7,All,All,All,Owner Occupied,All,Fuel Poor
S12000049,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,27.4,All,All,All,All,Families,Fuel Poor
S12000049,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,39.9,All,All,All,All,Other,Fuel Poor
S12000045,2014-2016,Percent,Percent of households in fuel poverty,39,All,Flats,All,All,All,Fuel Poor
S92000003,2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,25.8,All,All,All,All,Families,Fuel Poor
S12000029,2012-2014,Percent,Percent of households in fuel poverty,28.4,All,All,All,All,Other,Fuel Poor
S12000034,2016-2018,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,30.6,All,All,All,All,All,Fuel Poor
S12000033,2016-2018,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,28.7,All,All,All,All,All,Fuel Poor
S12000049,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,39.8,All,All,All,All,Other,Fuel Poor
S12000033,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,43.6,All,All,All,All,Older,Fuel Poor
S12000038,2015-2017,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,33,All,All,All,All,Families,Fuel Poor
S12000014,2017-2019,Percent,Percent of households in fuel poverty,15.8,All,All,All,Owner Occupied,All,Fuel Poor
S12000033,2013-2015,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,37.5,All,Flats,All,All,All,Fuel Poor
S12000006,2016-2018,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,33.4,All,All,All,All,All,Fuel Poor
